R1	PNG_2_100.fasta	446390	PNG_2_100.unique.pick.align	191058
R2	PNG_2_500.fasta	410777	PNG_2_500.unique.pick.align	164090
R1	PNG_2_Sess.fasta	191420	PNG_2_Sess.unique.pick.align	79953
R1	PNG_20_100.fasta	169446	PNG_20_100.unique.pick.align	75913
R1	PNG_20_500.fasta	100671	PNG_20_500.unique.pick.align	41473
R3	PNG_20_500.fasta	447442	PNG_20_500.unique.pick.align	174673
R1	PNG_20_SES.fasta	309767	PNG_20_SES.unique.pick.align	121448
R2	PNG_21_100.fasta	324397	PNG_21_100.unique.pick.align	135588
R2	PNG_21_500.fasta	239025	PNG_21_500.unique.pick.align	81682
R1	PNG_21_SES.fasta	66080	PNG_21_SES.unique.pick.align	31082
R3	PNG_21_SES.fasta	520604	PNG_21_SES.unique.pick.align	210761
R2	PNG_22_100.fasta	360821	PNG_22_100.unique.pick.align	161669
R2	PNG_22_500.fasta	470490	PNG_22_500.unique.pick.align	161988
R1	PNG_22_SES.fasta	419699	PNG_22_SES.unique.pick.align	159047
R2	PNG_23_100.fasta	329085	PNG_23_100.unique.pick.align	138998
R1	PNG_23_500.fasta	567090	PNG_23_500.unique.pick.align	177939
R1	PNG_23_SES.fasta	575102	PNG_23_SES.unique.pick.align	189227
R1	PNG_24_100.fasta	513191	PNG_24_100.unique.pick.align	204306
R1	PNG_24_500.fasta	751268	PNG_24_500.unique.pick.align	227127
R2	PNG_24_SES.fasta	584996	PNG_24_SES.unique.pick.align	213176
R1	PNG_25_100.fasta	247426	PNG_25_100.unique.pick.align	88673
R1	PNG_25_500.fasta	350557	PNG_25_500.unique.pick.align	141901
R2	PNG_25_SES.fasta	283528	PNG_25_SES.unique.pick.align	107145
R3	PNG_25_SES.fasta	441459	PNG_25_SES.unique.pick.align	177652
R2	PNG_26_100.fasta	181720	PNG_26_100.unique.pick.align	88373
R3	PNG_26_100.fasta	163620	PNG_26_100.unique.pick.align	87284
R2	PNG_26_500.fasta	609290	PNG_26_500.unique.pick.align	187675
R2	PNG_26_SES.fasta	579247	PNG_26_SES.unique.pick.align	215942
R3	PNG_26_SES.fasta	414541	PNG_26_SES.unique.pick.align	183871
R1	PNG_27_100.fasta	122669	PNG_27_100.unique.pick.align	59671
R3	PNG_27_100.fasta	491942	PNG_27_100.unique.pick.align	234802
R1	PNG_27_500.fasta	392552	PNG_27_500.unique.pick.align	136801
R2	PNG_27_SES.fasta	431511	PNG_27_SES.unique.pick.align	158668
R2	PNG_28_100.fasta	217203	PNG_28_100.unique.pick.align	99958
R1	PNG_28_500.fasta	140852	PNG_28_500.unique.pick.align	59525
R3	PNG_28_500.fasta	397713	PNG_28_500.unique.pick.align	169248
R2	PNG_28_SES.fasta	292491	PNG_28_SES.unique.pick.align	122135
R1	PNG_29_100.fasta	359033	PNG_29_100.unique.pick.align	146148
R1	PNG_29_500.fasta	331218	PNG_29_500.unique.pick.align	117099
R2	PNG_29_SES.fasta	280745	PNG_29_SES.unique.pick.align	115675
R3	PNG_29_SES.fasta	182112	PNG_29_SES.unique.pick.align	89458
R1	PNG_3_100.fasta	176535	PNG_3_100.unique.pick.align	74720
R3	PNG_3_100.fasta	586503	PNG_3_100.unique.pick.align	258390
R2	PNG_3_500.fasta	511486	PNG_3_500.unique.pick.align	182757
R1	PNG_3_Sess.fasta	221724	PNG_3_Sess.unique.pick.align	80172
R2	PNG_30_100.fasta	253441	PNG_30_100.unique.pick.align	112865
R2	PNG_30_500.fasta	291139	PNG_30_500.unique.pick.align	95746
R2	PNG_30_SES.fasta	228873	PNG_30_SES.unique.pick.align	93356
R1	PNG_4_100.fasta	454019	PNG_4_100.unique.pick.align	203941
R2	PNG_4_500.fasta	312164	PNG_4_500.unique.pick.align	132350
R2	PNG_4_Sess.fasta	422819	PNG_4_Sess.unique.pick.align	138246
R1	PNG_5_100.fasta	316271	PNG_5_100.unique.pick.align	145737
R2	PNG_5_500.fasta	367077	PNG_5_500.unique.pick.align	144577
R2	PNG_5_Sess.fasta	288836	PNG_5_Sess.unique.pick.align	104213
R1	PNG_6_100.fasta	331676	PNG_6_100.unique.pick.align	143003
R2	PNG_6_500.fasta	698794	PNG_6_500.unique.pick.align	232932
R2	PNG_6_Sess.fasta	573781	PNG_6_Sess.unique.pick.align	174688
R1	PNG_7_100.fasta	347255	PNG_7_100.unique.pick.align	131014
R1	PNG_7_500.fasta	393700	PNG_7_500.unique.pick.align	142425
R2	PNG_7_Sess.fasta	295371	PNG_7_Sess.unique.pick.align	108900
R1	PNG_8_100.fasta	273519	PNG_8_100.unique.pick.align	119899
R1	PNG_8_500.fasta	419018	PNG_8_500.unique.pick.align	140799
R2	PNG_8_Sess.fasta	425914	PNG_8_Sess.unique.pick.align	145311
R1	PNG_9_100.fasta	251046	PNG_9_100.unique.pick.align	115351
R1	PNG_9_500.fasta	456976	PNG_9_500.unique.pick.align	154054
R2	PNG_9_Sess.fasta	216537	PNG_9_Sess.unique.pick.align	79835
